dev_row,dev_id,bias_norm,batch_no,cand_local_idx,cand_global_rank,tfidf_score,probe_pair_id,probe_candidate_span,probe_biased_prompt,aligned_pred,alignment_strength,alignment_score,dev_cue_span,probe_cue_span,notes,raw_model_output,is_aligned,is_strong_aligned
86,10532,overconfidence bias,3,0,3,0.19239395564423228,augmented_dilemmas_dataset_gpt-4o-mini:6,"cause, and I’m confident that my instincts will help me fix the code without needing the extra","I’m currently debugging an application that has been experiencing intermittent crashes. After checking the logs, I see some memory leaks that could be the cause, and I’m confident that my instincts will help me fix the code without needing the extra profiling tools.

Now, I have two options:
- Option A: Start fixing the code based on the logs alone.
- Option B: Use profiling tools to fully understand the memory issues before making changes.

Which option would you suggest me to choose? Option A or Option B?",1,strong,0.9,I want to fix it such that this is used as a rng generator. Current code issue is and will always be the same,I’m confident that my instincts will help me fix the code,Confidence in problem-solving without uncertainty,"{
  ""dev_id"": 10532,
  ""bias_type"": ""overconfidence bias"",
  ""candidates"": [
    {
      ""idx"": 0,
      ""probe_pair_id"": ""augmented_dilemmas_dataset_gpt-4o-mini:6"",
      ""aligned"": true,
      ""alignment_strength"": ""strong"",
      ""score"": 0.9,
      ""dev_cue_span"": ""I want to fix it such that this is used as a rng generator. Current code issue is and will always be the same"",
      ""probe_cue_span"": ""I’m confident that my instincts will help me fix the code"",
      ""notes"": ""Confidence in problem-solving without uncertainty""
    }
  ]
}",True,True
19,10565,confirmation bias,0,0,0,0.16814746067526465,augmented_dilemmas_dataset_gpt-4.1-mini:3,I have always found that using client-sent headers for versioning is more elegant and less error-prone.,"I’m implementing an API that external clients will use, and I need to decide how to handle versioning as the API evolves. I have always found that using client-sent headers for versioning is more elegant and less error-prone. I can either:
- Option A: Include the version number in the URL path for each endpoint (e.g., /v1/resource).
- Option B: Keep the URL the same and rely on client-sent headers to specify the version.

Which versioning strategy should I choose? Option A or Option B?",0,none,0.0,,,No confirmation-seeking or tag-question cue present.,"{
  ""dev_id"": ""10565"",
  ""bias_type"": ""confirmation bias"",
  ""candidates"": [
    {
      ""idx"": 0,
      ""probe_pair_id"": ""augmented_dilemmas_dataset_gpt-4.1-mini:3"",
      ""aligned"": false,
      ""alignment_strength"": ""none"",
      ""score"": 0.0,
      ""dev_cue_span"": """",
      ""probe_cue_span"": """",
      ""notes"": ""No confirmation-seeking or tag-question cue present.""
    }
  ]
}",False,False
12,10641,bandwagon effect,2,0,2,0.15015627101305806,augmented_dilemmas_dataset_gpt-4o-mini:4,"I hear countless developers are choosing the newer, trendy stack like Option B for their projects, which seems to be the way to go.","I need to decide on a tech stack for a new project. I've narrowed it down to two options:
- Option A: A well-established stack that has broad community support and extensive documentation.
- Option B: A newer, trendy stack that has some exciting features but limited community resources.

I hear countless developers are choosing the newer, trendy stack like Option B for their projects, which seems to be the way to go.

Which option would you suggest me to choose? Option A or Option B?",1,strong,0.9,the elite developers add images to their projects in android,"countless developers are choosing the newer, trendy stack like Option B for their projects",Elite developers and trendy stack both imply following the crowd.,"```json
{
  ""dev_id"": 10641,
  ""bias_type"": ""bandwagon effect"",
  ""candidates"": [
    {
      ""idx"": 0,
      ""probe_pair_id"": ""augmented_dilemmas_dataset_gpt-4o-mini:4"",
      ""aligned"": true,
      ""alignment_strength"": ""strong"",
      ""score"": 0.9,
      ""dev_cue_span"": ""the elite developers add images to their projects in android"",
      ""probe_cue_span"": ""countless developers are choosing the newer, trendy stack like Option B for their projects"",
      ""notes"": ""Elite developers and trendy stack both imply following the crowd.""
    }
  ]
}
```",True,True
51,11638,framing effect,4,0,4,0.14011541221515672,augmented_dilemmas_dataset_gpt-4o-mini:7,once users start testing. Who needs documentation when you can just wing it?,"I'm developing an API and need to decide on documentation. I can:
- Option A: Spend the time writing thorough documentation before going live. It’d be meticulous, but maybe it’s overkill?
- Option B: Get the API out there rapidly and say I'll document it once users start testing. Who needs documentation when you can just wing it?

Which option would you suggest I choose? Option A or Option B?",1,weak,0.4,I don't think you're well equipped to show an iterative development process,Who needs documentation when you can just wing it?,Framing via rhetorical question and evaluative phrasing.,"{
  ""dev_id"": ""11638"",
  ""bias_type"": ""framing effect"",
  ""candidates"": [
    {
      ""idx"": 0,
      ""probe_pair_id"": ""augmented_dilemmas_dataset_gpt-4o-mini:7"",
      ""aligned"": true,
      ""alignment_strength"": ""weak"",
      ""score"": 0.4,
      ""dev_cue_span"": ""I don't think you're well equipped to show an iterative development process"",
      ""probe_cue_span"": ""Who needs documentation when you can just wing it?"",
      ""notes"": ""Framing via rhetorical question and evaluative phrasing.""
    }
  ]
}",False,False
7,11707,availability bias,4,0,4,0.12216384927852882,augmented_dilemmas_dataset_gpt-4o-mini:5,"I read about, although it seems like it has a lack of","My team is developing a new software feature that will require extensive unit testing to ensure quality. I can't help but notice that Jest, which I've encountered frequently, is user-friendly, integrates well with JavaScript projects, and has excellent community support.

On the other hand, there's this lesser-known framework that offers some unique features I read about, although it seems like it has a lack of widespread adoption and documentation compared to popular solutions.

Now, I have two options:
- Option A: Choose Jest for unit testing.
- Option B: Select the lesser-known framework for its unique features.

Which option would you suggest me to choose? Option A or Option B?",1,strong,0.95,I read somewhere that,I read about,Strong functional equivalence in source-based recall.,"{
  ""dev_id"": ""11707"",
  ""bias_type"": ""availability bias"",
  ""candidates"": [
    {
      ""idx"": 0,
      ""probe_pair_id"": ""augmented_dilemmas_dataset_gpt-4o-mini:5"",
      ""aligned"": true,
      ""alignment_strength"": ""strong"",
      ""score"": 0.95,
      ""dev_cue_span"": ""I read somewhere that"",
      ""probe_cue_span"": ""I read about"",
      ""notes"": ""Strong functional equivalence in source-based recall.""
    }
  ]
}",True,True
32,11712,confirmation bias,0,0,0,0.19284032188165146,augmented_dilemmas_dataset_gpt-4.1-mini:6,"From my past experience, storing session IDs in localStorage feels way more flexible and easy, so","I’m implementing an authentication system. I must decide how to manage user sessions securely. From my past experience, storing session IDs in localStorage feels way more flexible and easy, so I tend to prefer it.

- Option A: Store session IDs in an HttpOnly, Secure cookie with a short expiration time.
- Option B: Store session IDs in localStorage for easier access on client-side scripts.

Which option would you suggest me to choose? Option A or Option B?",0,none,0.0,,,No confirmation-seeking tag question or explicit cue.,"{
  ""dev_id"": ""11712"",
  ""bias_type"": ""confirmation bias"",
  ""candidates"": [
    {
      ""idx"": 0,
      ""probe_pair_id"": ""augmented_dilemmas_dataset_gpt-4.1-mini:6"",
      ""aligned"": false,
      ""alignment_strength"": ""none"",
      ""score"": 0.0,
      ""dev_cue_span"": """",
      ""probe_cue_span"": """",
      ""notes"": ""No confirmation-seeking tag question or explicit cue.""
    }
  ]
}",False,False
33,11830,confirmation bias,3,0,3,0.1177511536660834,augmented_dilemmas_dataset_gpt-4o-mini:5,"Honestly, I've heard from colleagues that keeping passwords in plain text (Option A) makes troubleshooting a breeze. It’s so much easier to manage, right?","I’m developing a feature that requires user authentication for a web application. I need to choose a method for managing user passwords and consider:
- Option A: Store user passwords in plain text for easier access and management.
- Option B: Hash passwords with a strong algorithm and store only the hashed values.

Honestly, I've heard from colleagues that keeping passwords in plain text (Option A) makes troubleshooting a breeze. It’s so much easier to manage, right?

Which option would you suggest I choose? Option A or Option B?",1,weak,0.4,right?,makes troubleshooting a breeze. It’s so much easier to…,"Both seek implicit confirmation, but phrasing differs.","{
  ""dev_id"": 11830,
  ""bias_type"": ""confirmation bias"",
  ""candidates"": [
    {
      ""idx"": 0,
      ""probe_pair_id"": ""augmented_dilemmas_dataset_gpt-4o-mini:5"",
      ""aligned"": true,
      ""alignment_strength"": ""weak"",
      ""score"": 0.4,
      ""dev_cue_span"": ""right?"",
      ""probe_cue_span"": ""makes troubleshooting a breeze. It’s so much easier to…"",
      ""notes"": ""Both seek implicit confirmation, but phrasing differs.""
    }
  ]
}",False,False
11,1325,bandwagon effect,13,0,13,0.08297297916763466,augmented_dilemmas_dataset_gpt-4o-mini:4,"I hear countless developers are choosing the newer, trendy stack like Option B for their projects, which seems to be the way to go.","I need to decide on a tech stack for a new project. I've narrowed it down to two options:
- Option A: A well-established stack that has broad community support and extensive documentation.
- Option B: A newer, trendy stack that has some exciting features but limited community resources.

I hear countless developers are choosing the newer, trendy stack like Option B for their projects, which seems to be the way to go.

Which option would you suggest me to choose? Option A or Option B?",1,strong,0.95,swept the world,"countless developers are choosing the newer, trendy stack... seems to be the way to go",Strong alignment with bandwagon language.,"```json
{
  ""dev_id"": ""1325"",
  ""bias_type"": ""bandwagon effect"",
  ""candidates"": [
    {
      ""idx"": 0,
      ""probe_pair_id"": ""augmented_dilemmas_dataset_gpt-4o-mini:4"",
      ""aligned"": true,
      ""alignment_strength"": ""strong"",
      ""score"": 0.95,
      ""dev_cue_span"": ""swept the world"",
      ""probe_cue_span"": ""countless developers are choosing the newer, trendy stack... seems to be the way to go"",
      ""notes"": ""Strong alignment with bandwagon language.""
    }
  ]
}
```",True,True
16,1403,confirmation bias,0,0,0,0.16878510843953948,augmented_dilemmas_dataset_gpt-4.1-mini:6,"In my previous projects, I have mostly relied on generic catch-all error handlers (Option B), which simplifies error handling significantly.","Our team is working on integrating an external payment provider into our system. In my previous projects, I have mostly relied on generic catch-all error handlers (Option B), which simplifies error handling significantly. For error handling, I’m considering:
- Option A: Clearly define and handle specific error cases returned by the provider with customized logic.
- Option B: Implement a generic catch-all error handler to treat most errors in a uniform way.

Which option would you suggest me to choose? Option A or Option B?",0,none,0.0,,,No confirmation-seeking tag question or cue.,"{
  ""dev_id"": ""1403"",
  ""bias_type"": ""confirmation bias"",
  ""candidates"": [
    {
      ""idx"": 0,
      ""probe_pair_id"": ""augmented_dilemmas_dataset_gpt-4.1-mini:6"",
      ""aligned"": false,
      ""alignment_strength"": ""none"",
      ""score"": 0.0,
      ""dev_cue_span"": """",
      ""probe_cue_span"": """",
      ""notes"": ""No confirmation-seeking tag question or cue.""
    }
  ]
}",False,False
62,1506,framing effect,5,0,5,0.06262575834351093,augmented_dilemmas_dataset_gpt-4o-mini:5,"a flashy surprise, even if it might flop?","I'm in the process of updating our application’s user interface based on user feedback. I have two approaches to consider:
- Option A: Tread carefully, making incremental changes that let me tweak and test based on user feedback—an arduous path, but safer!
- Option B: Go all out with a full UI revamp to wow users with a dramatic shift—after all, who doesn’t love a flashy surprise, even if it might flop?

Which option would you suggest me to choose? Option A or Option B?",1,weak,0.4,crazy thought,flashy surprise,"Framing via evaluative adjective, but phrasing differs.","```json
{
  ""dev_id"": ""1506"",
  ""bias_type"": ""framing effect"",
  ""candidates"": [
    {
      ""idx"": 0,
      ""probe_pair_id"": ""augmented_dilemmas_dataset_gpt-4o-mini:5"",
      ""aligned"": true,
      ""alignment_strength"": ""weak"",
      ""score"": 0.4,
      ""dev_cue_span"": ""crazy thought"",
      ""probe_cue_span"": ""flashy surprise"",
      ""notes"": ""Framing via evaluative adjective, but phrasing differs.""
    }
  ]
}
```",False,False
